"idPedido","lonCarga","latCarga","lonDescarga","latDescarga","categoria","prioridad","replanificacion","camiones","replan_time","replan_time_limit","idCamion"
"2117AR049-006",-8.49035,42.24593,-8.41728,42.22052,M3,1,42,"A110372A, A110372B, A110372A, A110372B",2022-08-22 08:00:00.000,2022-08-24 08:00:00.000,A110372A
"1806AR219-010",-7.28999,43.47093,-7.52979,43.69763,M2,1,44,"A103451A, A103451B, A103451C, A103451D, A103451E, A103451F, A103451G, A112522A",2022-08-23 08:00:00.000,2022-08-25 08:00:00.000,A112522A
"2216AR049-010",-8.5525,42.38131,-8.55067,42.38165,M1,1,21,"A127343A, A127343A",2022-08-11 14:00:00.000,2022-08-13 14:00:00.000,A127343A
"2207AR066-004",-7.51992,43.68068,-7.51794,43.68218,M1,1,4,"A104715A, A104715B, A104715C, A104715D, A104715E, A104715A, A104715B, A104715C, A104715D, A104715E",2022-08-03 08:00:00.000,2022-08-05 08:00:00.000,A104715C
"2207AR008-012",-7.48867,43.65196,-7.52034,43.70089,M2,1,10,"A104715A, A104715B, A104715C, A104715D, A104715E, A104715A, A104715B, A104715C, A104715D, A104715E",2022-08-06 08:00:00.000,2022-08-08 08:00:00.000,A104715C
"2105AR107-002",-7.26726,43.47899,-7.09546,43.42094,M3,1,14,"A103451A, A103451B, A103451C, A103451D, A103451E, A103451F, A103451G, A103451A, A103451B, A103451C, A103451D, A103451E, A103451F, A103451G",2022-08-08 08:00:00.000,2022-08-10 08:00:00.000,A103451E
"1806AR233-002",-7.31945,43.46576,-8.53411,42.49748,M2,1,7,"A103451A, A103451B, A103451C, A103451D, A103451E, A103451F, A103451G, A102978A",2022-08-04 14:00:00.000,2022-08-06 14:00:00.000,A103451B
"1721AR010-005",-7.51248,43.43052,-7.20898,43.4085,M2,1,13,"A120540A, A120540B, A103451A, A103451B, A103451C, A103451D, A103451E, A103451F, A103451G",2022-08-07 14:00:00.000,2022-08-09 14:00:00.000,A103451C
"2005AR072-005",-7.22756,43.48333,-7.71983,43.5299,M0,1,25,"A103451A, A103451B, A103451C, A103451D, A103451E, A103451F, A103451G, A103451A, A103451B, A103451C, A103451D, A103451E, A103451F, A103451G",2022-08-13 14:00:00.000,2022-08-15 14:00:00.000,A103451A
"2217AR024-002",-8.57755,42.09928,-8.30871,42.13356,M1,1,42,"A110372A, A110372B, A110372A, A110372B",2022-08-22 08:00:00.000,2022-08-24 08:00:00.000,A110372B
"2215AR060-001",-8.53215,42.49853,-7.56554,43.63614,M2,1,35,"A102978A, A104715A, A104715B, A104715C, A104715D, A104715E",2022-08-18 14:00:00.000,2022-08-20 14:00:00.000,A104715B
"2214AR033-010",-8.6243,42.97147,-7.10873,43.40465,M2,1,16,"A106058D, A106058E, A104161B, A104161C",2022-08-09 08:00:00.000,2022-08-11 08:00:00.000,A104161C
"2207AR043-001",-7.7202,43.46754,-7.13722,43.41716,M3,1,39,"A104877A, A104877C, A104161B, A104161C",2022-08-20 14:00:00.000,2022-08-22 14:00:00.000,A104877A
"1907AR352-001",-7.52144,43.7239,-7.82688,43.46726,M3,1,18,"A104715A, A104715B, A104715C, A104715D, A104715E, A104967A, A104967B, A104967C",2022-08-10 08:00:00.000,2022-08-12 08:00:00.000,A104715D
"2207AR047-003",-7.44733,43.59704,-7.45698,43.68489,M2,1,12,"A104715A, A104715B, A104715C, A104715D, A104715E, A104715A, A104715B, A104715C, A104715D, A104715E",2022-08-07 08:00:00.000,2022-08-09 08:00:00.000,A104715D
"2215AR061-011",-8.26726,42.67652,-7.53111,43.70298,M1,1,2,"A106058D, A106058E, A104715A, A104715B, A104715C, A104715D, A104715E",2022-08-02 08:00:00.000,2022-08-04 08:00:00.000,A104715B
"2207AR075-001",-7.46281,43.67683,-8.7421,43.11695,M1,1,34,"A104715A, A104715B, A104715C, A104715D, A104715E, A103761A, A103761D",2022-08-18 08:00:00.000,2022-08-20 08:00:00.000,A104715A
"2206AR025-002",-7.37447,43.60106,-7.36237,43.60285,M0,1,0,"A104715A, A104715B, A104715C, A104715D, A104715E, A104715A, A104715B, A104715C, A104715D, A104715E",2022-08-01 08:00:00.000,2022-08-03 08:00:00.000,A104715D
"2207AR046-001",-7.39776,43.64768,-7.20865,43.41732,M2,1,10,"A104715A, A104715B, A104715C, A104715D, A104715E, A103451A, A103451B, A103451C, A103451D, A103451E, A103451F, A103451G",2022-08-06 08:00:00.000,2022-08-08 08:00:00.000,A104715A
"2003AR084-002",-6.03398,43.48751,-6.03316,43.48936,M2,1,18,"A103698A, A103698A",2022-08-10 08:00:00.000,2022-08-12 08:00:00.000,A103698A
"2205AR071-001",-7.24043,43.38549,-7.31118,43.44394,M2,1,41,"A103451A, A103451B, A103451C, A103451D, A103451E, A103451F, A103451G, A103451A, A103451B, A103451C, A103451D, A103451E, A103451F, A103451G",2022-08-21 14:00:00.000,2022-08-23 14:00:00.000,A103451B
"2115AR130-002",-8.5244,42.63511,-8.39746,42.68758,M3,1,13,"A127958B, A127958B",2022-08-07 14:00:00.000,2022-08-09 14:00:00.000,A127958B
"2204AR058-025",-7.12647,43.42124,-7.12683,43.42177,M2,1,6,"A104161B, A104161C, A104161B, A104161C",2022-08-04 08:00:00.000,2022-08-06 08:00:00.000,A104161B
"2206AR026-014",-7.43959,43.31581,-7.01436,43.43831,M2,1,33,"A103451A, A103451B, A103451C, A103451D, A103451E, A103451F, A103451G, A120540A, A120540B",2022-08-17 14:00:00.000,2022-08-19 14:00:00.000,A103451D
